,as_of,ask_id,fund_size
9372,2024-04,B13779,1359.15
9373,2024-05,B13779,1399.52
9374,2024-06,B13779,1404.56
9375,2024-07,B13779,1438.83
9376,2024-08,B13779,1447.55
9377,2024-09,B13779,1452.11
9378,2024-10,B13779,1357.84
9379,2024-11,B13779,1427.9
9380,2024-12,B13779,1346.97
9381,2025-01,B13779,1367.7
9382,2025-02,B13779,1322.98
9383,2025-03,B13779,1222.6
9384,2025-04,B13779,1190.41
9385,2025-05,B13779,1246.86
9386,2025-06,B13779,1296.24
9387,2000-01,B14200,69.5691
9388,2000-05,B14200,85.8543
9389,2000-06,B14200,92.0536
9390,2000-11,B14200,104.234
9391,2000-12,B14200,109.519
9392,2001-03,B14200,108.198
9393,2001-06,B14200,121.972
9394,2001-11,B14200,128.615
9395,2001-12,B14200,130.009
9396,2002-03,B14200,137.65
9397,2002-11,B14200,121.965
9398,2002-12,B14200,116.329
9399,2003-01,B14200,114.294
9400,2003-02,B14200,113.374
9401,2003-03,B14200,114.183
9402,2003-04,B14200,127.874
9403,2003-09,B14200,144.99
9404,2003-10,B14200,152.432
9405,2003-11,B14200,154.083
9406,2003-12,B14200,161.287
9407,2004-01,B14200,162.67
9408,2004-02,B14200,163.266
9409,2004-03,B14200,158.674
9410,2004-04,B14200,156.705
9411,2004-05,B14200,157.65
9412,2004-06,B14200,158.823
9413,2004-07,B14200,166.669
9414,2004-08,B14200,165.886
9415,2004-09,B14200,165.545
9416,2004-10,B14200,166.595
9417,2004-11,B14200,171.209
9418,2004-12,B14200,176.444
9419,2005-01,B14200,171.54
9420,2005-05,B14200,168.559
9421,2005-06,B14200,168.257
9422,2005-09,B14200,154.118
9423,2005-10,B14200,148.233
9424,2005-11,B14200,152.552
9425,2005-12,B14200,151.087
9426,2006-01,B14200,152.406
9427,2006-02,B14200,150.992
9428,2006-03,B14200,150.991
9429,2006-04,B14200,151.031
9430,2006-05,B14200,145.609
9431,2006-06,B14200,144.725
9432,2006-07,B14200,143.186
9433,2006-08,B14200,144.44
9434,2006-09,B14200,145.606
9435,2006-10,B14200,148.421
9436,2006-11,B14200,148.656
9437,2006-12,B14200,148.641
9438,2007-01,B14200,148.019
9439,2007-02,B14200,142.959
9440,2007-03,B14200,135.601
9441,2007-04,B14200,148.037
9442,2007-05,B14200,0.018531
9443,2007-06,B14200,301.267
9444,2007-07,B14200,290.737
9445,2007-08,B14200,295.553
9446,2007-09,B14200,307.107
9447,2007-10,B14200,310.945
9448,2007-11,B14200,295.995
9449,2007-12,B14200,290.411
9450,2008-01,B14200,268.551
9451,2008-02,B14200,259.456
9452,2008-03,B14200,229.976
9453,2008-04,B14200,266.234
9454,2008-05,B14200,202.361
9455,2008-06,B14200,182.91
9456,2008-07,B14200,178.976
9457,2008-08,B14200,179.24
9458,2008-09,B14200,160.889
9459,2008-10,B14200,132.271
9460,2008-11,B14200,120.53
9461,2008-12,B14200,123.4
9462,2009-01,B14200,112.452
9463,2009-02,B14200,100.075
9464,2009-03,B14200,108.65
9465,2009-04,B14200,144.17
9466,2009-05,B14200,135.412
9467,2009-06,B14200,132.784
9468,2009-07,B14200,141.664
9469,2009-08,B14200,144.884
9470,2009-09,B14200,149.571
9471,2009-10,B14200,143.47
9472,2009-11,B14200,150.488
9473,2009-12,B14200,150.758
9474,2010-01,B14200,142.933
9475,2010-02,B14200,147.955
9476,2010-03,B14200,154.629
9477,2010-04,B14200,153.115
9478,2010-05,B14200,127.358
