,as_of,ask_id,fund_size
6415,2018-08,B15791,1.58716
6416,2018-09,B15791,1.47566
6417,2018-10,B15791,1.18855
6418,2018-11,B15791,1.2016
6419,2018-12,B15791,1.22146
6420,2019-01,B15791,1.22645
6421,2019-02,B15791,1.16725
6422,2019-03,B15791,1.20939
6423,2019-04,B15791,1.22696
6424,2019-05,B15791,1.24631
6425,2019-06,B15791,1.2564
6426,2019-07,B15791,1.22957
6427,2019-08,B15791,1.2604
6428,2019-09,B15791,1.25852
6429,2019-10,B15791,1.26123
6430,2019-11,B15791,1.25806
6431,2019-12,B15791,1.33414
6432,2020-01,B15791,1.35882
6433,2020-02,B15791,1.38758
6434,2020-03,B15791,1.55824
6435,2020-04,B15791,1.52107
6436,2020-05,B15791,1.46363
6437,2020-06,B15791,1.46432
6438,2020-07,B15791,1.42487
6439,2020-08,B15791,1.37861
6440,2020-09,B15791,1.33575
6441,2020-10,B15791,1.5485
6442,2020-11,B15791,1.55784
6443,2020-12,B15791,1.41325
6444,2021-01,B15791,1.46118
6445,2021-02,B15791,1.78898
6446,2021-03,B15791,1.77449
6447,2021-04,B15791,1.77836
6448,2021-05,B15791,1.79242
6449,2021-06,B15791,1.79682
6450,2021-07,B15791,1.81325
6451,2021-08,B15791,1.79116
6452,2021-09,B15791,1.77403
6453,2021-10,B15791,1.7653
6454,2021-11,B15791,1.77279
6455,2021-12,B15791,1.77338
6456,2022-01,B15791,1.76759
6457,2022-02,B15791,1.81892
6458,2022-03,B15791,1.77733
6459,2022-04,B15791,1.73418
6460,2022-05,B15791,1.0
6461,2022-06,B15791,1.73098
6462,2022-07,B15791,1.74375
6463,2022-08,B15791,1.71036
6464,2022-09,B15791,1.66537
6465,2022-10,B15791,1.65715
6466,2022-11,B15791,1.70139
6467,2022-12,B15791,1.67712
6468,2023-01,B15791,1.4216
6469,2023-02,B15791,1.40938
6470,2023-03,B15791,1.43731
6471,2023-04,B15791,1.44509
6472,2023-05,B15791,1.44011
6473,2023-06,B15791,1.42756
6474,2023-07,B15791,1.42861
6475,2023-08,B15791,1.43105
6476,2023-09,B15791,1.40669
6477,2023-10,B15791,1.72421
6478,2023-11,B15791,1.76318
6479,2023-12,B15791,1.81138
6480,2024-01,B15791,1.80608
6481,2024-02,B15791,1.7762
6482,2024-03,B15791,1.77944
6483,2024-04,B15791,1.74111
6484,2024-05,B15791,1.74852
6485,2024-06,B15791,1.76374
6486,2024-07,B15791,1.83927
6487,2024-08,B15791,1.99386
6488,2024-09,B15791,2.01147
6489,2024-10,B15791,2.51227
6490,2024-11,B15791,2.52559
6491,2024-12,B15791,2.49527
6492,2025-01,B15791,2.49459
6493,2025-02,B15791,2.54373
6494,2025-03,B15791,2.54688
6495,2025-04,B15791,2.5704
6496,2025-05,B15791,2.54875
6497,2025-06,B15791,2.57101
6498,2005-08,B16243,72.2266
6499,2005-09,B16243,116.923
6500,2005-10,B16243,115.986
6501,2005-11,B16243,203.364
6502,2005-12,B16243,205.206
6503,2006-01,B16243,206.45
6504,2006-02,B16243,211.562
6505,2006-03,B16243,209.537
6506,2006-04,B16243,211.247
6507,2006-05,B16243,267.485
6508,2006-06,B16243,263.811
6509,2006-07,B16243,265.325
6510,2006-08,B16243,267.583
6511,2006-09,B16243,293.414
6512,2006-10,B16243,341.152
6513,2006-11,B16243,344.898
6514,2006-12,B16243,463.685
6515,2007-01,B16243,437.987
6516,2007-02,B16243,451.208
6517,2007-03,B16243,466.23
6518,2007-04,B16243,451.754
6519,2007-05,B16243,350.339
6520,2007-06,B16243,375.037
6521,2007-07,B16243,397.982
6522,2007-08,B16243,407.041
6523,2007-09,B16243,533.537
6524,2007-10,B16243,554.626
6525,2007-11,B16243,552.497
6526,2007-12,B16243,606.268
6527,2008-01,B16243,596.413
6528,2008-02,B16243,560.465
6529,2008-03,B16243,527.324
6530,2008-04,B16243,517.953
6531,2008-05,B16243,515.186
6532,2008-06,B16243,545.114
6533,2008-07,B16243,451.359
6534,2008-08,B16243,441.048
6535,2008-09,B16243,416.379
6536,2008-10,B16243,399.272
6537,2008-11,B16243,398.647
6538,2008-12,B16243,418.373
6539,2009-01,B16243,412.348
6540,2009-02,B16243,385.936
6541,2009-03,B16243,394.548
6542,2009-04,B16243,550.897
6543,2009-05,B16243,513.326
6544,2009-06,B16243,453.654
6545,2009-07,B16243,464.324
6546,2009-08,B16243,485.439
6547,2009-09,B16243,502.909
6548,2009-10,B16243,654.446
6549,2009-11,B16243,650.294
6550,2009-12,B16243,644.724
6551,2010-01,B16243,658.673
6552,2010-02,B16243,708.147
6553,2010-03,B16243,758.778
6554,2010-04,B16243,773.629
6555,2010-05,B16243,773.368
6556,2010-06,B16243,776.174
6557,2010-07,B16243,809.793
6558,2010-08,B16243,838.242
6559,2010-09,B16243,947.686
6560,2010-10,B16243,1005.99
6561,2010-11,B16243,1003.21
6562,2010-12,B16243,1017.25
6563,2011-01,B16243,1036.61
6564,2011-02,B16243,1038.63
6565,2011-03,B16243,1043.02
6566,2011-04,B16243,1049.84
6567,2011-05,B16243,1067.98
6568,2011-06,B16243,1068.28
6569,2011-07,B16243,1107.82
6570,2011-08,B16243,1048.64
6571,2011-09,B16243,1037.34
6572,2011-10,B16243,1025.64
6573,2011-11,B16243,1012.58
6574,2011-12,B16243,1019.6
6575,2012-01,B16243,1036.25
6576,2012-02,B16243,1040.93
6577,2012-03,B16243,992.771
6578,2012-04,B16243,1038.6
6579,2012-05,B16243,1047.86
6580,2012-06,B16243,1027.46
6581,2012-07,B16243,1048.62
6582,2012-08,B16243,1056.17
6583,2012-09,B16243,1171.51
6584,2012-10,B16243,1146.48
6585,2012-11,B16243,1103.43
6586,2012-12,B16243,1110.47
6587,2013-01,B16243,1142.51
6588,2013-02,B16243,1097.04
6589,2013-03,B16243,1093.4
6590,2013-04,B16243,1101.63
6591,2013-05,B16243,1091.41
6592,2013-06,B16243,1085.81
6593,2013-07,B16243,1106.71
6594,2013-08,B16243,1034.26
6595,2013-09,B16243,1057.55
6596,2013-10,B16243,1084.53
6597,2013-11,B16243,1078.65
6598,2013-12,B16243,1052.86
6599,2014-01,B16243,1075.8
6600,2014-02,B16243,1097.43
6601,2014-03,B16243,1076.4
